"COMPONENT","STATUS","LOGICAL-CLOCK-TIMESTAMP"
"TemperatureSensor","0.0","13"
"Outlet","on","14"
"MotionSensor","motion-detected","17"
"TemperatureSensor","0.0","11"
"Outlet","on","12"
"TemperatureSensor","0.0","19"
"Outlet","on","20"
"MotionSensor","motion-detected","23"
"MotionSensor","motion-detected","26"
"TemperatureSensor","0.0","30"
"Outlet","on","31"
"TemperatureSensor","0.0","38"
"Outlet","on","39"
"TemperatureSensor","0.0","43"
"Outlet","on","44"
"MotionSensor","motion-detected","47"
"DoorSensor","false","50"
"MotionSensor","motion-detected","56"
"DoorSensor","false","59"
"MotionSensor","motion-detected","65"
"DoorSensor","false","68"
"MotionSensor","motion-detected","74"
"DoorSensor","false","77"
"MotionSensor","motion-detected","83"
"DoorSensor","false","86"
"MotionSensor","motion-detected","92"
"DoorSensor","false","95"
"MotionSensor","motion-detected","101"
"DoorSensor","false","104"
"MotionSensor","motion-detected","110"
"DoorSensor","false","113"
"MotionSensor","motion-detected","119"
"DoorSensor","false","122"
"MotionSensor","motion-detected","128"
"DoorSensor","false","131"
"MotionSensor","motion-detected","137"
"DoorSensor","false","140"
"MotionSensor","motion-detected","146"
"DoorSensor","false","149"
"MotionSensor","motion-detected","155"
"DoorSensor","false","158"
"MotionSensor","motion-detected","164"
"DoorSensor","false","167"
"MotionSensor","motion-detected","173"
"DoorSensor","false","176"
"MotionSensor","motion-detected","182"
"DoorSensor","false","185"
"MotionSensor","motion-detected","191"
"DoorSensor","false","194"
"MotionSensor","motion-detected","200"
"DoorSensor","false","203"
"MotionSensor","motion-detected","209"
"DoorSensor","false","212"
"MotionSensor","motion-detected","218"
"DoorSensor","false","221"
"MotionSensor","motion-detected","227"
"DoorSensor","false","230"
"MotionSensor","motion-detected","236"
"DoorSensor","false","239"
"MotionSensor","motion-detected","245"
"DoorSensor","false","248"
"MotionSensor","motion-detected","254"
"DoorSensor","false","257"
"MotionSensor","motion-detected","263"
"DoorSensor","false","266"
"MotionSensor","motion-detected","272"
"DoorSensor","false","275"
"MotionSensor","motion-detected","281"
"DoorSensor","false","284"
"MotionSensor","motion-detected","290"
"DoorSensor","false","293"
"MotionSensor","motion-detected","299"
"DoorSensor","false","302"
"MotionSensor","motion-detected","308"
"DoorSensor","false","311"
"MotionSensor","motion-detected","317"
"DoorSensor","false","320"
"MotionSensor","motion-detected","326"
"DoorSensor","false","329"
"MotionSensor","motion-detected","335"
"DoorSensor","false","338"
"MotionSensor","motion-detected","344"
"DoorSensor","false","347"
"MotionSensor","motion-detected","353"
"DoorSensor","false","356"
"MotionSensor","motion-detected","362"
"DoorSensor","false","365"
"MotionSensor","motion-detected","371"
"DoorSensor","false","374"
"MotionSensor","motion-detected","380"
"DoorSensor","false","383"
"MotionSensor","motion-detected","389"
"DoorSensor","false","392"
"MotionSensor","motion-detected","398"
"DoorSensor","false","401"
"MotionSensor","motion-detected","407"
"DoorSensor","false","410"
"MotionSensor","motion-detected","416"
"DoorSensor","false","419"
"MotionSensor","motion-detected","425"
"DoorSensor","false","428"
"MotionSensor","motion-detected","434"
"DoorSensor","false","437"
"MotionSensor","motion-detected","443"
"DoorSensor","false","446"
"MotionSensor","motion-detected","452"
"DoorSensor","false","455"
"MotionSensor","motion-detected","461"
"DoorSensor","false","464"
"MotionSensor","motion-detected","470"
"DoorSensor","false","473"
"MotionSensor","motion-detected","479"
"DoorSensor","false","482"
"MotionSensor","motion-detected","488"
"DoorSensor","false","491"
"MotionSensor","motion-detected","497"
"DoorSensor","false","500"
"MotionSensor","motion-detected","506"
"DoorSensor","false","509"
"MotionSensor","motion-detected","515"
"DoorSensor","false","518"
"MotionSensor","motion-detected","524"
"DoorSensor","false","527"
"MotionSensor","motion-detected","533"
"DoorSensor","false","536"
"MotionSensor","motion-detected","542"
"DoorSensor","false","545"
"MotionSensor","motion-detected","551"
"DoorSensor","false","554"
"MotionSensor","motion-detected","560"
"DoorSensor","false","563"
"MotionSensor","motion-detected","569"
"DoorSensor","false","572"
"MotionSensor","motion-detected","578"
"DoorSensor","false","581"
"MotionSensor","motion-detected","587"
"DoorSensor","false","590"
"MotionSensor","motion-detected","596"
"DoorSensor","false","599"
"MotionSensor","motion-detected","605"
"DoorSensor","false","608"
"MotionSensor","motion-detected","614"
"DoorSensor","false","617"
"MotionSensor","motion-detected","623"
"DoorSensor","false","626"
